title_author,text_stemmered
Gilead de Marilynne Robinson,gilead marilynn robinson fiction novel reader critic eager anticip decad gilead astonish imagin stori remark live john ame preacher son preacher grandson matern patern preacher it 1956 gilead iowa toward end reverend ame life absorb record famili stori legaci young son never see grow haunt grandfath presenc john tell rift grandfath father elder angri visionari fought abolitionist caus son ardent pacifist troubl prodig namesak jack john ame boughton best friend lost son return gilead search forgiv redempt told john ame joyous rambl voic find beauti humour truth smallest life detail gilead song celebr accept best worst world offer heart tale sacr bond father son pitch-perfect style stori set dazzl critic reader alik
Spider's Web de Charles Osborne; Agatha Christie,spider web charl osborn agatha christi mysteri new christi christma -- full-length novel adapt acclaim play charl osborn follow black coffe unexpect guest come final agatha christi play novelis bring superb storytel new legion fan clarissa wife foreign offic diplomat given daydream suppos come one morn find dead bodi librari do? muse clarissa chanc find discov bodi drawing-room hous kent desper dispos bodi husband come home import foreign politician clarissa persuad three hous guest becom accessori accomplic seem murder man unknown certain member hous parti ones? search begin murder motiv time tri persuad polic inspector murder spider web written 1954 specif margaret lockwood open first theatr royal nottingham move savoy theatr london 14 decemb 1954 mousetrap wi
The One Tree de Stephen R. Donaldson,one tree stephen r donaldson fiction volum two stephen donaldson acclaim second trilog featu compel anti-hero thoma coven
Rage of angels de Sidney Sheldon,rage angel sidney sheldon fiction memor mesmer heroin jennif -- brilliant beauti attorney way mafia scheme win hatr implac enemi -- love destruct hate danger dramat world dark arena organ crime flashbulb lit courtroom ambiti prosecutor begin climb polit power
The Four Loves de Clive Staples Lewis,four love clive stapl lewi religion lewi work natur love divid love four categori affect friendship ero chariti first three come natur human chariti howev gift-lov god divin without supernatur love natur love becom distort even danger
The Problem of Pain de Clive Staples Lewis,"problem pain clive stapl lewi religion ""in problem pain c lewi one renown christian author thinker examin univers applic question within human condit god good all-pow allow creatur suffer pain? signatur wealth compass insight c lewi offer answer crucial question share hope wisdom help heal world hunger true understand human natur ""--amazon"
An Autobiography de Agatha Christie,autobiographi agatha christi author english donat
Empires of the Monsoon de Richard Hall,empir monsoon richard hall africa east vasco da gama discov sea-rout east 1497-9 almost noth known west exot cultur wealth indian ocean peopl civil destruct hand west richard hall recreat book hall histori explor exploit chines arab travel portugues dutch british alik one brutal betray coloni ambit
The Gap Into Madness de Stephen R. Donaldson,gap mad stephen r donaldson hyland morn fictiti charact new-cov reissu fourth book bestsel five-volum sf seri creat world-fam author thoma coven chronicl -- acclaim best work career event move amnion intend human fals deal alien planetoid thanato minor explod atom trumpet hurtl space one step ahead hostil pursuer board morn hyland force-grown son davi cyborg angus thermopyl captain nick succorso -- old enemi thrown togeth desper bid surviv amnion umcp immedi captur flee ship secret contain imper trumpet exhaust crew hope lay illeg lab distant binari solar system valdor industri would journey unpredict danger -- would return
Master of the Game de Sidney Sheldon,master game sidney sheldon adventur kate blackwel enigma one power women world ninetieth birthday celebr ghost absent friend absent enemi
If Tomorrow Comes de Sidney Sheldon,tomorrow come sidney sheldon adventur one sidney sheldon popular bestsel titl repackag reissu new generat fan
Assassin's Apprentice de Robin Hobb,assassin apprentic robin hobb fiction fantasy-roman
Warhost of Vastmark de Janny Wurts,warhost vastmark janni wurt fiction trick wili half-broth lysaer lord light arriv tini harbor town merior find arithon ship yard abandon meticul destroy master shadow disappear thin air meanwhil arithon mad prophet dakar travel foot treacher kelhorn mountain toward vastmark clan rais support caus rais warhost cost busi mere coincid princess talith—lysa beauti headstrong wife—i taken captiv held vast ransom master brigand? forc light shadow circl feint draw ever closer huge conflict background fellowship seven sorcer koriani enchantress watch plan wait
The Once and Future King de Terence Hanbury White,"futur king terenc hanburi white romanc omnibus volum author complet stori arthurian epic includ ""the sword stone"" 1939 ""the witch wood"" 1939 ""the ill-mad knight"" 1940 ""the candl wind"" publish first time ""the book merlyn "" 1996"
